k009,1,1,-484,4,6
k009,1,2,-484,5,5
k009,1,3,-484,6,4
k009,1,4,-484,7,4
k009,1,5,-484,8,2
k009,1,6,-484,9,1
k009,1,7,-484,9,30
k009,1,8,-484,10,30
k009,1,9,-484,11,28
k009,1,10,-484,12,27
k009,1,11,-483,1,26
k009,1,12,-483,2,24
k009,2,1,-483,3,26
k009,2,2,-483,4,25
k009,2,3,-483,5,24
k009,2,4,-483,6,23
k009,2,5,-483,7,23
k009,2,6,-483,8,21
k009,2,6.5,-483,9,20
k009,2,7,-483,10,19
k009,2,8,-483,11,17
k009,2,9,-483,12,17
k009,2,10,-482,1,15
k009,2,11,-482,2,13
k009,2,12,-482,3,15
k009,3,1,-482,4,14
k009,3,2,-482,5,13
k009,3,3,-482,6,12
k009,3,4,-482,7,12
k009,3,5,-482,8,11
k009,3,6,-482,9,9
k009,3,7,-482,10,9
k009,3,8,-482,11,7
k009,3,9,-482,12,6
k009,3,10,-481,1,5
k009,3,11,-481,2,3
k009,3,12,-481,3,4
k009,4,1,-481,4,3
k009,4,2,-481,5,2
k009,4,3,-481,6,1
k009,4,4,-481,7,1
k009,4,5,-481,7,31
k009,4,6,-481,8,29
k009,4,7,-481,9,28
k009,4,8,-481,10,28
k009,4,9,-481,11,26
k009,4,10,-481,12,25
k009,4,11,-480,1,24
k009,4,12,-480,2,22
k009,4,12.5,-480,3,22
k009,5,1,-480,4,21
k009,5,2,-480,5,20
k009,5,3,-480,6,19
k009,5,4,-480,7,19
k009,5,5,-480,8,17
k009,5,6,-480,9,16
k009,5,7,-480,10,16
k009,5,8,-480,11,14
k009,5,9,-480,12,14
k009,5,10,-479,1,12
k009,5,11,-479,2,11
k009,5,12,-479,3,12
k009,6,1,-479,4,11
k009,6,2,-479,5,10
k009,6,3,-479,6,8
k009,6,4,-479,7,8
k009,6,5,-479,8,6
k009,6,6,-479,9,5
k009,6,7,-479,10,5
k009,6,8,-479,11,3
k009,6,9,-479,12,3
k009,6,10,-478,1,2
k009,6,11,-478,1,31
k009,6,12,-478,3,2
k009,7,1,-478,3,31
k009,7,2,-478,4,30
k009,7,3,-478,5,29
k009,7,4,-478,6,27
k009,7,5,-478,7,27
k009,7,6,-478,8,25
k009,7,7,-478,9,24
k009,7,8,-478,10,23
k009,7,9,-478,11,22
k009,7,10,-478,12,22
k009,7,11,-477,1,21
k009,7,12,-477,2,19
k009,7,12.5,-477,3,21
k009,8,1,-477,4,19
k009,8,2,-477,5,19
k009,8,3,-477,6,17
k009,8,4,-477,7,16
k009,8,5,-477,8,15
k009,8,6,-477,9,13
k009,8,7,-477,10,12
k009,8,8,-477,11,11
k009,8,9,-477,12,11
k009,8,10,-476,1,10
k009,8,11,-476,2,8
k009,8,12,-476,3,9
k009,9,1,-476,4,8
k009,9,2,-476,5,7
k009,9,3,-476,6,6
k009,9,4,-476,7,5
k009,9,5,-476,8,3
k009,9,6,-476,9,2
k009,9,7,-476,10,1
k009,9,8,-476,10,30
k009,9,9,-476,11,29
k009,9,10,-476,12,29
k009,9,11,-475,1,27
k009,9,12,-475,2,26
k009,10,1,-475,3,28
k009,10,2,-475,4,26
k009,10,3,-475,5,26
k009,10,4,-475,6,24
k009,10,5,-475,7,24
k009,10,6,-475,8,22
k009,10,7,-475,9,21
k009,10,8,-475,10,20
k009,10,9,-475,11,19
k009,10,10,-475,12,18
k009,10,11,-474,1,17
k009,10,12,-474,2,15
k009,10,12.5,-474,3,17
k009,11,1,-474,4,15
k009,11,2,-474,5,15
k009,11,3,-474,6,14
k009,11,4,-474,7,13
k009,11,5,-474,8,12
k009,11,6,-474,9,10
k009,11,7,-474,10,10
k009,11,8,-474,11,8
k009,11,9,-474,12,8
k009,11,10,-473,1,6
k009,11,11,-473,2,5
k009,11,12,-473,3,6
k009,12,1,-473,4,5
k009,12,2,-473,5,4
k009,12,3,-473,6,3
k009,12,4,-473,7,2
k009,12,5,-473,8,1
k009,12,6,-473,8,31
k009,12,7,-473,9,29
k009,12,8,-473,10,29
k009,12,9,-473,11,28
k009,12,10,-473,12,27
k009,12,11,-472,1,25
k009,12,12,-472,2,24
k009,12,12.5,-472,3,24
k009,13,1,-472,4,22
k009,13,2,-472,5,22
k009,13,3,-472,6,20
k009,13,4,-472,7,20
k009,13,5,-472,8,19
k009,13,6,-472,9,18
k009,13,7,-472,10,17
k009,13,8,-472,11,16
k009,13,9,-472,12,16
k009,13,10,-471,1,14
k009,13,11,-471,2,12
k009,13,12,-471,3,13
k009,14,1,-471,4,12
k009,14,2,-471,5,11
k009,14,3,-471,6,10
k009,14,4,-471,7,10
k009,14,5,-471,8,9
k009,14,6,-471,9,7
k009,14,7,-471,10,7
k009,14,8,-471,11,5
k009,14,9,-471,12,5
k009,14,10,-470,1,4
k009,14,11,-470,2,2
k009,14,12,-470,3,3
k009,15,1,-470,4,1
k009,15,2,-470,5,1
k009,15,3,-470,5,30
k009,15,4,-470,6,28
k009,15,5,-470,7,28
k009,15,6,-470,8,27
k009,15,7,-470,9,26
k009,15,8,-470,10,26
k009,15,9,-470,11,24
k009,15,10,-470,12,24
k009,15,11,-469,1,22
k009,15,12,-469,2,21
k009,15,12.5,-469,3,22
k009,16,1,-469,4,21
k009,16,2,-469,5,20
k009,16,3,-469,6,18
k009,16,4,-469,7,17
k009,16,5,-469,8,16
k009,16,6,-469,9,15
k009,16,7,-469,10,15
k009,16,8,-469,11,13
k009,16,9,-469,12,13
k009,16,10,-468,1,12
k009,16,11,-468,2,10
k009,16,12,-468,3,11
k009,17,1,-468,4,9
k009,17,2,-468,5,8
k009,17,3,-468,6,7
k009,17,4,-468,7,6
k009,17,5,-468,8,5
k009,17,6,-468,9,3
k009,17,7,-468,10,3
k009,17,8,-468,11,1
k009,17,9,-468,12,1
k009,17,10,-468,12,31
k009,17,11,-467,1,29
k009,17,12,-467,2,28
k009,18,1,-467,3,29
k009,18,2,-467,4,28
k009,18,3,-467,5,27
k009,18,4,-467,6,26
k009,18,5,-467,7,25
k009,18,6,-467,8,24
k009,18,7,-467,9,22
k009,18,8,-467,10,22
k009,18,9,-467,11,20
k009,18,10,-467,12,20
k009,18,11,-466,1,18
k009,18,12,-466,2,17
k009,18,12.5,-466,3,18
k009,19,1,-466,4,17
k009,19,2,-466,5,17
k009,19,3,-466,6,15
k009,19,4,-466,7,15
k009,19,5,-466,8,14
k009,19,6,-466,9,12
k009,19,7,-466,10,12
k009,19,8,-466,11,10
k009,19,9,-466,12,9
k009,19,10,-465,1,7
k009,19,11,-465,2,6
k009,19,12,-465,3,7
k009,20,1,-465,4,6
k009,20,2,-465,5,6
k009,20,3,-465,6,4
k009,20,4,-465,7,4
k009,20,5,-465,8,3
k009,20,6,-465,9,2
k009,20,7,-465,10,1
k009,20,8,-465,10,31
k009,20,9,-465,11,29
k009,20,10,-465,12,28
k009,20,11,-464,1,26
k009,20,12,-464,2,25
k009,21,1,-464,3,25
k009,21,2,-464,4,24
k009,21,3,-464,5,24
k009,21,4,-464,6,22
k009,21,5,-464,7,22
k009,21,6,-464,8,21
k009,21,6.5,-464,9,20
k009,21,7,-464,10,19
k009,21,8,-464,11,17
k009,21,9,-464,12,17
k009,21,10,-463,1,15
k009,21,11,-463,2,13
k009,21,12,-463,3,15
