YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,521,4/14,5/13,6/12,7/11,8/10,9/8,,10/8,11/6,12/6,520,1/4,,2/3,3/4
2,520,4/3,5/3,6/1,7/1,7/31,8/29,,9/27,10/27,11/25,,12/24,519,1/23,2/21
3,519,3/23,4/22,5/21,6/20,7/20,8/19,9/17,10/16,11/15,12/14,518,1/12,,2/11,3/12
4,518,4/11,5/10,6/9,7/9,8/8,9/6,,10/6,11/4,12/4,517,1/2,,1/31,3/1
5,517,3/30,4/29,5/28,6/27,7/27,8/25,,9/24,10/24,11/22,,12/22,516,1/20,2/19,3/20

6,516,4/18,5/18,6/16,7/16,8/14,9/13,,10/13,11/11,12/11,515,1/10,,2/8,3/10
7,515,4/8,5/7,6/6,7/5,8/3,9/2,10/2,,10/31,11/30,,12/30,514,1/29,2/27
8,514,3/29,4/27,5/26,6/25,7/24,8/22,,9/21,10/20,11/19,,12/19,513,1/18,2/16,3/17
9,513,4/16,5/15,6/13,7/13,8/11,9/10,,10/9,11/7,12/7,512,1/6,,2/5,3/6
10,512,4/5,5/4,6/3,7/2,7/31,8/30,,9/29,10/28,11/28,,12/27,511,1/25,2/23

11,511,3/25,4/23,5/23,6/22,7/21,8/19,9/18,10/18,11/16,12/16,510,1/14,,2/12,3/14
12,510,4/13,5/12,6/11,7/10,8/9,9/8,,10/7,11/6,12/5,509,1/4,,2/2,3/2
13,509,4/1,4/30,5/30,6/28,7/28,8/27,,9/26,10/25,11/24,,12/23,508,1/22,2/20,3/21
14,508,4/20,5/19,6/17,7/17,8/16,9/15,,10/15,11/14,12/13,507,1/11,,2/10,3/11
15,507,4/9,5/8,6/7,7/6,8/5,9/4,,10/4,11/3,12/2,506,1/1,,1/30,3/1

16,506,3/30,4/28,5/27,6/26,7/25,8/24,,9/23,10/23,11/21,,12/21,505,1/20,2/18,3/18
17,505,4/17,5/16,6/14,7/14,8/12,9/11,,10/11,11/9,12/9,504,1/8,,2/6,3/8
18,504,4/6,5/6,6/4,7/4,8/2,9/1,,9/30,10/30,11/28,,12/28,503,1/26,2/25
19,503,3/27,4/25,5/25,6/23,7/23,8/21,9/20,10/19,11/18,12/17,502,1/15,,2/14,3/16
20,502,4/14,5/14,6/13,7/12,8/11,9/9,,10/9,11/7,12/6,501,1/5,,2/3,3/4

21,501,4/2,5/2,6/1,6/30,7/30,8/29,,9/27,10/27,11/25,,12/24,500,1/23,2/21
22,500,3/23,4/21,5/21,6/19,7/19,8/18,,9/17,10/16,11/15,,12/14,499,1/12,2/11,3/12
23,499,4/11,5/10,6/9,7/8,8/7,9/6,,10/5,11/4,12/3,498,1/2,,1/31,3/2
24,498,3/31,4/30,5/29,6/27,7/27,8/26,,9/24,10/24,11/23,,12/22,497,1/21,2/20,3/20
25,497,4/18,5/18,6/16,7/15,8/14,9/12,,10/12,11/11,12/10,496,1/9,,2/8,3/9

26,496,4/8,5/7,6/6,7/5,8/3,9/2,,10/1,10/31,11/29,,12/29,495,1/28,2/26
27,495,3/28,4/27,5/26,6/25,7/24,8/22,,9/21,10/20,11/19,,12/18,494,1/17,2/16,3/17
28,494,4/16,5/16,6/14,7/14,8/12,9/10,,10/10,11/8,12/8,493,1/6,,2/5,3/6
29,493,4/4,5/4,6/2,7/2,7/31,8/30,,9/28,10/28,11/26,,12/26,492,1/24,2/23,3/24
30,492,4/23,5/22,6/21,7/21,8/19,9/18,,10/18,11/16,12/16,491,1/14,,2/12,3/14

31,491,4/12,5/12,6/10,7/10,8/8,9/7,,10/7,11/6,12/5,490,1/4,,2/2,3/3
32,490,4/2,5/1,5/30,6/29,7/28,8/27,,9/26,10/26,11/25,,12/24,489,1/23,2/21,3/21
33,489,4/19,5/19,6/17,7/17,8/15,9/14,,10/14,11/13,12/13,488,1/11,,2/9,3/11
34,488,4/9,5/8,6/7,7/6,8/5,9/3,,10/3,11/2,12/2,,12/31,487,1/30,2/28
35,487,3/30,4/28,5/28,6/26,7/25,8/24,,9/23,10/22,11/21,,12/20,486,1/19,2/17,3/19

36,486,4/18,5/17,6/15,7/15,8/13,9/12,,10/12,11/10,12/9,485,1/8,,2/6,3/7
