YEAR,B.C.,NIS,AIA,SIM,DUZ,ABU,ULU,UII,TAS,ARA,KIS,Y1,TEB,Y2,SHA,ADD,AII
1,538,3/24,4/22,5/22,6/20,7/20,8/19,,9/17,10/16,11/15,,12/14,537,1/13,2/11
2,537,3/12,4/10,5/10,6/9,7/8,8/7,9/6,10/5,11/3,12/3,536,1/1,,1/30,3/1
3,536,3/31,4/29,5/29,6/28,7/27,8/26,,9/25,10/24,11/22,,12/22,535,1/20,2/19,3/20
4,535,4/18,5/18,6/17,7/16,8/15,9/14,,10/13,11/12,12/11,534,1/9,,2/8,3/9
5,534,4/8,5/7,6/6,7/6,8/4,9/3,,10/2,11/1,12/1,,12/30,533,1/29,2/27

6,533,3/28,4/26,5/25,6/24,7/24,8/22,,9/20,10/20,11/19,,12/19,532,1/17,2/16,3/17
7,532,4/16,5/15,6/13,7/13,8/11,9/9,,10/9,11/8,12/8,531,1/6,,2/5,3/7
8,531,4/5,5/5,6/3,7/2,7/31,8/30,,9/28,10/28,11/27,,12/27,530,1/25,2/24
9,530,3/26,4/24,5/24,6/22,7/21,8/20,9/18,10/18,11/16,12/16,529,1/14,,2/13,3/14

